opcode,obf,real,dir,declared_len,field_idx,field_name,type,bytes,note
502,auf_0,,S2C,,0,,i8,1,
502,auf_0,,S2C,,1,,i8,1,
502,auf_0,,S2C,,2,,i8,1,
504,mD,,S2C,,0,,i8,1,
504,mD,,S2C,,1,,i32,4,
509,atM,,C2S,2 + byArray.length,0,,i8/bytes,0,
509,atM,,C2S,2 + byArray.length,1,,i8/bytes,0,
509,atM,,C2S,2 + byArray.length,2,,i8/bytes,0,
510,arl_0,,S2C,,0,,i16,2,
511,awR,,C2S,8,0,,i64,8,
513,wt_1,,C2S,9 + byArray.length,0,,i64,8,
513,wt_1,,C2S,9 + byArray.length,1,,i8/bytes,0,
513,wt_1,,C2S,9 + byArray.length,2,,i8/bytes,0,
517,auZ,,C2S,8,0,,i64,8,
519,add_2,,C2S,8,0,,i64,8,
539,F,,C2S,this.ay.nj(,0,,i8/bytes,0,
551,mx_1,,C2S,18,0,,i64,8,
551,mx_1,,C2S,18,1,,i16,2,
551,mx_1,,C2S,18,2,,i32,4,
551,mx_1,,C2S,18,3,,i32,4,
553,abo_0,,C2S,13 + byArray.length,0,,i64,8,
553,abo_0,,C2S,13 + byArray.length,1,,i32,4,
553,abo_0,,C2S,13 + byArray.length,2,,i8/bytes,0,
553,abo_0,,C2S,13 + byArray.length,3,,i8/bytes,0,
555,Nr,,C2S,17 + byArray.length,0,,i64,8,
555,Nr,,C2S,17 + byArray.length,1,,i32,4,
555,Nr,,C2S,17 + byArray.length,2,,i16,2,
555,Nr,,C2S,17 + byArray.length,3,,i16,2,
555,Nr,,C2S,17 + byArray.length,4,,i8/bytes,0,
555,Nr,,C2S,17 + byArray.length,5,,i8/bytes,0,
556,h_0,,S2C,,0,,i64,8,
557,Ko,,C2S,10,0,,i64,8,
557,Ko,,C2S,10,1,,i16,2,
558,ahU,,S2C,,0,,i8,1,
558,ahU,,S2C,,1,,i8,1,
560,ry_1,,S2C,,0,,i8,1,
560,ry_1,,S2C,,1,,i8,1,
1024,Uk,ResultMessage,S2C,,0,,i8,1,
1024,Uk,ResultMessage,S2C,,1,,i32,4,
1025,bu_1,ClientAuthenticationMessage,C2S,by + by2 + 2,0,,i8/bytes,0,
1025,bu_1,ClientAuthenticationMessage,C2S,by + by2 + 2,1,,i8/bytes,0,
1025,bu_1,ClientAuthenticationMessage,C2S,by + by2 + 2,2,,i8/bytes,0,
1025,bu_1,ClientAuthenticationMessage,C2S,by + by2 + 2,3,,i8/bytes,0,
1026,fm_1,WorldServerUnavailableMessage,S2C,,,(no fields / empty),,,
2048,amz_0,CoachCreationRequestMessage,S2C,,,(no fields / empty),,,
2049,alq_0,CoachCreationMessage,C2S,4 + byArray.length,0,,i8/bytes,0,
2049,alq_0,CoachCreationMessage,C2S,4 + byArray.length,1,,i8/bytes,0,
2049,alq_0,CoachCreationMessage,C2S,4 + byArray.length,2,,i8/bytes,0,
2049,alq_0,CoachCreationMessage,C2S,4 + byArray.length,3,,i8/bytes,0,
2049,alq_0,CoachCreationMessage,C2S,4 + byArray.length,4,,i8/bytes,0,
2050,az_0,CoachCreationResultMessage,S2C,,,(no fields / empty),,,
2052,aoh_2,CoachInformationsMessage,S2C,,,(no fields / empty),,,
2070,nj,,S2C,,0,,i32,4,
2260,py_0,,C2S,n2,0,,i64,8,
2261,wv_2,,S2C,,0,,i8,1,
2300,bk_1,OpponentFoundMessage,S2C,,0,,i64,8,
2300,bk_1,OpponentFoundMessage,S2C,,1,,i16,2,
2301,agp_1,OpponentSearchRequestMessage,C2S,n3,0,,i16,2,"contains loop/collection - variable-length, verify source"
2301,agp_1,OpponentSearchRequestMessage,C2S,n3,1,,i16,2,"contains loop/collection - variable-length, verify source"
2301,agp_1,OpponentSearchRequestMessage,C2S,n3,2,,i32,4,"contains loop/collection - variable-length, verify source"
2301,agp_1,OpponentSearchRequestMessage,C2S,n3,3,,i64,8,"contains loop/collection - variable-length, verify source"
2302,apa_0,OpponentSearchErrorMessage,S2C,,,(no fields / empty),,,
2303,adj_0,OpponentSearchCancelMessage,C2S,,,(no fields / empty),,,
2304,Hf,OpponentSearchInProgressMessage,S2C,,,(no fields / empty),,,
2306,tj_2,OpponentSearchCancelResultMessage,S2C,,,(no fields / empty),,,
2307,bx_1,,S2C,,0,,i64,8,"contains loop/collection - variable-length, verify source"
2307,bx_1,,S2C,,1,,i32,4,"contains loop/collection - variable-length, verify source"
2307,bx_1,,S2C,,2,,i32,4,"contains loop/collection - variable-length, verify source"
2307,bx_1,,S2C,,3,,i16,2,"contains loop/collection - variable-length, verify source"
2307,bx_1,,S2C,,4,,i32,4,"contains loop/collection - variable-length, verify source"
2307,bx_1,,S2C,,5,,i64,8,"contains loop/collection - variable-length, verify source"
2308,Pg,,C2S,n3,0,,i64,8,"contains loop/collection - variable-length, verify source"
2308,Pg,,C2S,n3,1,,i16,2,"contains loop/collection - variable-length, verify source"
2308,Pg,,C2S,n3,2,,i32,4,"contains loop/collection - variable-length, verify source"
2308,Pg,,C2S,n3,3,,i64,8,"contains loop/collection - variable-length, verify source"
2308,Pg,,C2S,n3,4,,i8/bytes,0,"contains loop/collection - variable-length, verify source"
2309,cJ,,S2C,,0,,i8,1,
2400,pl_1,PlayerStatisticsReportMessage,S2C,,0,,u16,2,
2401,uf_0,,S2C,,0,,u16,2,
2411,HJ,,S2C,,0,,i32,4,"contains loop/collection - variable-length, verify source"
2411,HJ,,S2C,,1,,i16,2,"contains loop/collection - variable-length, verify source"
2411,HJ,,S2C,,2,,i16,2,"contains loop/collection - variable-length, verify source"
2411,HJ,,S2C,,3,,i16,2,"contains loop/collection - variable-length, verify source"
2411,HJ,,S2C,,4,,i32,4,"contains loop/collection - variable-length, verify source"
2411,HJ,,S2C,,5,,i32,4,"contains loop/collection - variable-length, verify source"
2411,HJ,,S2C,,6,,i32,4,"contains loop/collection - variable-length, verify source"
2600,mL,,C2S,8,0,,i64,8,
2601,kq_2,,S2C,1 (min),0,,i64,8,
2601,kq_2,,S2C,1 (min),1,,i16,2,
2601,kq_2,,S2C,1 (min),2,,i16,2,
3128,by_1,ChannelFlagsMessage,S2C,,0,,i8,1,
3128,by_1,ChannelFlagsMessage,S2C,,1,,i8,1,
3129,QZ,AddFriendMessage,C2S,1 + byArray.length,0,,i8/bytes,0,
3129,QZ,AddFriendMessage,C2S,1 + byArray.length,1,,i8/bytes,0,
3130,cz_0,ChannelJoinMessage,S2C,,0,,i8,1,
3130,cz_0,ChannelJoinMessage,S2C,,1,,i8,1,
3130,cz_0,ChannelJoinMessage,S2C,,2,,i8,1,
3131,MP,AddIgnoreMessage,C2S,1 + byArray.length,0,,i8/bytes,0,
3131,MP,AddIgnoreMessage,C2S,1 + byArray.length,1,,i8/bytes,0,
3132,Bs,ChannelLeaveMessage,S2C,,0,,i8,1,
3132,Bs,ChannelLeaveMessage,S2C,,1,,i8,1,
3133,aym_0,RemoveFriendMessage,C2S,1 + byArray.length,0,,i8/bytes,0,
3133,aym_0,RemoveFriendMessage,C2S,1 + byArray.length,1,,i8/bytes,0,
3134,Uy,ChannelMemberFlagsMessage,S2C,,0,,i8,1,
3134,Uy,ChannelMemberFlagsMessage,S2C,,1,,i8,1,
3134,Uy,ChannelMemberFlagsMessage,S2C,,2,,i8,1,
3135,aer_0,RemoveIgnoreMessage,C2S,1 + byArray.length,0,,i8/bytes,0,
3135,aer_0,RemoveIgnoreMessage,C2S,1 + byArray.length,1,,i8/bytes,0,
3136,ato_0,ChannelMemberKickMessage,S2C,,0,,i8,1,
3136,ato_0,ChannelMemberKickMessage,S2C,,1,,i8,1,
3136,ato_0,ChannelMemberKickMessage,S2C,,2,,i8,1,
3138,ax_2,ChannelMembersMessage,S2C,,0,,u8,1,
3140,xb_1,ChannelContentMessage,S2C,,0,,i8,1,
3140,xb_1,ChannelContentMessage,S2C,,1,,i8,1,
3140,xb_1,ChannelContentMessage,S2C,,2,,i8,1,
3142,wh_0,ChatUserFlagsMessage,S2C,,0,,i8,1,
3142,wh_0,ChatUserFlagsMessage,S2C,,1,,i8,1,
3144,aaf_1,FriendListMessage,S2C,,0,,u8,1,"contains loop/collection - variable-length, verify source"
3144,aaf_1,FriendListMessage,S2C,,1,,i16,2,"contains loop/collection - variable-length, verify source"
3146,abh_0,IgnoreListMessage,S2C,,0,,i8,1,"contains loop/collection - variable-length, verify source"
3146,abh_0,IgnoreListMessage,S2C,,1,,u8,1,"contains loop/collection - variable-length, verify source"
3148,dh_0,NotificationFriendOnlineMessage,S2C,,0,,u8,1,
3148,dh_0,NotificationFriendOnlineMessage,S2C,,1,,u8,1,
3148,dh_0,NotificationFriendOnlineMessage,S2C,,2,,u8,1,
